text,Mystery,Drama,Thriller,Comedy,Action
"Affinity is set in Victorian England; the story of an upper-class woman, Margaret , who becomes an official ""Visitor"" to a woman's prison; however, she becomes emotionally attached to one of the inmates, Selina . As the story progresses through Selina's shady background, and Margaret's dislike of her home life; a plot to break out of the prison develops. But just what the plan is, and who calls the shots is yet to be discovered.",1,1,1,0,0
"Bharat Nagar is a city in modern secular India that is terrorized by a gangster named Bhika, who is protected by the local politician, Gulabchand Jhakotia, his son, Police Inspector Bhushan, and the D.S.P. Anand Saxena. When Inspector Gurdayal Singh accumulates enough evidence to arrest Bhika, he is killed. Bhushan then attempts to molest an activist, Asha, but is stopped by Vijay, her fiancé. But Bhushan kills Vijay and ends up getting killed by Asha. The Police arrest Asha and hold her in a cell without permitting her to meet with anyone including her brother, Aadesh. Then Bhushan's position is filled with Inspector S.P. Jagdishan, who does attempt to bring law and order to this troubled city, and even permits Aadesh to meet with Asha. When Bhika kills the owner of the local newspaper 'Bharat Nagar Times', Jagdishan arrests him after D' Souza's daughter, Mary, comes forward to testify - only to get instructions for his transfer to distant Malegaon, and the immediate release of Bhika - who, together with Gulabchand, are now set to rule over Bharat Nagar - with no one bold enough to stand in their way.",0,1,0,0,1
"During World War II the British army is attempting to retrieve an Enigma machine from Germany. Having failed in previous attempts they decide to send four men undercover to the factory that makes the devices, deep in Berlin. Unfortunately the factory is populated entirely by women, and they only have men to send. American O'Rourke  teams with British transvestite Tony Parker , genius Johnno  and the reluctant Archie . The four are sent to infiltrate the factory dressed as women. Dropped in the wrong area, the team must first try to find their bearings. Aided by Romy, a sympathiser to their cause, they find their way to the factory. They manage to retrieve the Enigma machine, against the expectations of the British army. Just before they leave Germany, they realize they were tricked &ndash; the British government already had the device, but wanted to make the Germans think they were still after it. They were specifically chosen as the team most likely to fail. That they are about to successfully leave Germany with an Enigma machine would, in fact, destroy the usefulness of the machine, as the Germans would know it was stolen and switch to a different code system. Archie volunteers to be captured with the machine to allow the mission to ""fail"". After he is captured, the team retrieves him and all return safely to England, leaving the German with the impression they have all the Enigma machines and the British are still desperate to obtain one.",0,1,0,1,1
"Amy Medford  is a dutiful housewife of the early 1900s. But when her husband Elliot ([[Chris Robinson  objects to a wife with a career, Amy leaves her husband and comfortable lifestyle. She goes on to devote her life to teaching sight-and-hearing-impaired students at a tradition-bound special school. Amy's students take on a team of ""normal"" kids at a football game.",0,1,0,1,0
"Robin Shea is a mischief-causing temptress, a rock-star wannabe who will do anything to escape the confines of a New Mexico prison. She meets a young man named Billy Moran who is doing some manual labor at the prison. After a brief tryst within minutes of having met, she persuades Billy to marry her. Billy's responsible, serious demeanor is a sharp contrast to Robin's wild-child nature. She doesn't want a relationship. She is only interested in furthering a musical career any way she can. A politician, James Tiernan, had previously picked up Robin during a jailbreak and drove her back to the prison. He risks his chances of being elected governor on his ability to use Robin as a poster child for successful prison reform. In the meantime, Robin tries to teach Billy how to properly relate to women as he tries to teach her how to be a wife and mother. In effect, they learn from each other how to become better human beings.",0,1,0,1,0
"Mary, an orphan lives in an orphanage run by nuns. She is good at studies and is artistically talented. Until her adulthood, her education was being sponsored by a philanthropist. Though she has never met her sponsor, an old man, but she gets to know of the fact that he is the sponsor through the nuns. Her sponsor one day passes away. As a result, her dreams of a college education are ruined. She struggles to get educated further. Mr. Robert Brown , who is now at the helm of affairs of his father's business, agrees to continue her sponsorship. Bob is a bachelor and Mary falls in love with Bob. She learns that love comes when you least expect it in this romantic drama. A new patron comes to her aid, but love threatens to get in the way of Mary's education. Anokha Rishta, perfectly harmonizing with its title, is the story of an unusual relationship between Mary  and Robert Brown . Teenager Mary is an orphan and lives in an orphanage run by nuns. Her education had been sponsored by Robert’s father in his lifetime. After the demise of his father, when Robert takes independent charge of the family business, he comes to know of this sponsorship. Being benevolent by nature, he decides to continue it in his father’s name itself. Mary has never met her sponsor and she even does not know him by name. For her, the identity of her sponsor is ’uncle’ only to whom she regularly writes letters and her uncle  always responds to them. A youth  loves her but she ignores his advances because of his image of an irresponsible and loafer boy. On the other hand, Robert has always been in love with Dr. Pramila  but due to following different religious faiths and their parents not allowing them to marry someone from a different religion, they could not marry. However being mature and true lovers, they chose not to marry somebody else too and decided to remain bachelors only. The twist in the tale comes with Mary coming across Robert in a party and despite himself being more than double of her age, falls in love with him. She expresses her feelings to him but he discourages her from making advances towards him in this way. On the other hand, maintaining a benevolent attitude and wanting her to lead a happy life, Robert helps Mary’s lover to come closer to her and guides him to grow up, besides giving him a job in his own office. Mary, being mad in Robert’s love without knowing that he only is her sponsor and 'her uncle’ whom she writes to and gets letters from, keeps on living in her dreamy world of a married life with Robert. Her problem is that she cannot share her feelings and mental agony  with ’her uncle’ because all the incoming and outgoing letters  of Mary are screened first by the head of the orphanage . Finally, when Robert breaks her heart , she decides to become a nun and writes a final letter to 'her uncle’ with a special and last request to the head of the orphanage to deliver it to ’her uncle’ without opening it and reading its content. Dr. Pramila, knowing all these developments, tries to stop Mary but she remains firm on her decision. Now her lover  also gets desperate upon knowing this decision of hers. Finally the onus falls on the shoulders of Robert only to do something to prevent Mary from taking this drastic step and that leads to the highly emotional and impressive climax.",0,1,0,0,0
"Vishwanathan , an innocent young man in Kochi for a job interview is mistaken by many for a hardcore criminal and is arrested by police. His similarity to the criminal is so accurate that even cops mistakes him to a local criminal. Luckily, George Kutty ([[Mukesh , the police inspector, happens to be the classmate of Vishwanathan, and gets him released. George Kutty explains Vishwanathan about the crimes done by the criminal, whose real name and background is a mystery even for police. Looking just the same as Vishwanathan, he has several criminal cases pending against him and is on run. Vishwanathan, joins a job in city and falls in love with his co-worker Ambili . Mohandas, his MD in the company one day has a visitor in his office, who again mistakes VIshwanathan for the criminal, which ends in losing his job. The problems faced by Vishwanathan continues, including the breaking down of a marriage proposal for his sister. Vishwanathn thus loses hope in life and decides to take revenge against the criminal. He imposters himself as the criminal and extorts money there by inviting ire of the criminal. Vishwanthan is thus chased by the criminal. In a bitter fight, the criminal is accidentally stabbed to death by one of his accomplices. But his body is mistaken to be of Vishwanathan's as a bag containing educational certificates and bank passbook was lying near the body. Vishwanathan on reaching home witnesses his family performing last rites. That night, Vishwanathan appears in front of his father and explains him the reality. His father consoles Vishwanathan and tries to take him inside the house. Vishwanathan refuses to go with him and decides to live as the criminal for the rest of his life as a sweet revenge for ruining his life. However, a smiling Jayaram, walking around the cremation site, is shown in the very last scene of the movie, leaving the viewer wondering if the man who got killed was the criminal or Vishwanathan.",1,0,1,0,0
"Archie Andrews, fifteen years after graduating from Riverdale High, has become a successful lawyer and is getting ready to marry his fiancée, Pam, and move to ""the big city."" Before doing that, however, he returns home to Riverdale for his high school reunion. Archie and company are all now in their early thirties, with the trials and tribulations one might expect to have happened to such a group over the years: *Betty, a grade school teacher, is constantly bossed around by her crummy boyfriend, Robert. *Veronica, having lived in France since graduation, has been married  four times. *Jughead, now a psychiatrist, is also a divorcé with a son, Jordan. Jughead carries emotional baggage that manifests itself in a terrible fear of women.  This is played for laughs at the end when at the reunion it turns out that Big Ethel is no longer the gangly, awkward teenager she once was but is now a striking beauty. *Moose and Midge have gotten married and become chiropractors. They also have a son, Max, who hits it off with Jordan. When Archie sees Betty and Veronica for the first time in fifteen years, all his old feelings for them come flooding back, threatening his engagement—and it doesn't help that the girls renew their pursuit of Archie, heedless of the fact that he has a fiancée. Meanwhile, Archie also tries to keep gym owner Reggie, helped along by an uncharacteristically menacing Mr. Lodge, from evicting Pop Tate from his soda shop. Archie ultimately saves the Chock'lit Shoppe, though he loses Pam in the bargain, and decides to stay in Riverdale.",0,0,0,1,0
"Emperor Chandragupta Maurya is taking a sanyasa. His grandson, prince Asoka, claims his grandfather's sword. The Emperor explains that the sword is in fact a demon that, whenever unsheathed, craves blood. A few years later, Prince Asoka , now a brave youth, is battling the chief of Takshila. He figures that his half-brother Susima  has deliberately withheld reinforcements from arriving, but defeats the enemy nevertheless. Asoka's mother, Queen Dharma, compels the prince to leave the kingdom to lead the life of a common man. The prince is disappointed, but leaves. In his travels, he meets a lovely maiden Kaurwaki  and falls in love with her. Soldiers from the kingdom of Kalinga are chasing her and her little brother Arya. They are on the run along with their faithful general Bheema . After saving their lives, Asoka introduces himself as Pawan, hiding his true identity. Kaurwaki and Arya are the princess and prince of Kalinga, who fled from their kingdom when the Prime Minister assassinated their parents. Asoka and Kaurwaki get married but Asoka receives word that his mother is unwell. He rushes back only to find that his mother is perfectly fine and is in a conspiracy to remove him from power. The King dispatches Asoka to quell a rebellion in Ujjain. Asoka obeys but first returns to find Kaurwaki. Unable to find her, and not knowing she has gone into hiding, he is informed by Bheema that they were slaughtered. A heartbroken Asoka attempts suicide, but is saved by Viraat , who swears to protect him. Mad with grief and anger, Asoka embarks on a violent campaign of conquest to seek death. Susima sends soldiers to assassinate him but Asoka is saved by Viraat and taken to a Buddhist monastery to recover. There, he meets a Buddhist maiden, Devi , who cares for him. Asoka marries Devi and returns in splendor to Magadha. Susima and his brothers are wild with anger from their futile attempts to eliminate Asoka. In their last political move, Queen Dharma is killed instead. Angered, Asoka kills Susima and is anointed Emperor. A few months later, Princess Kaurwaki and Prince Arya return to Kalinga with Bheema and have the Prime Minister executed for treason. Asoka declares war on the kingdom; Kaurwaki still does not know that Asoka is Pawan, and they prepare for war. A terrible war is fought in Kalinga. The Magadha army inflicts a cruel defeat on Kalinga. Not content with mere victory, Asoka's warriors butcher everyone in sight. Bheema is slain and Kaurwaki is wounded.  Asoka later visits the battlefield, where he discovers his horse, who was supposed to be in Kaurwaki's possession. With a surge of hope, he frantically searches for Kaurwaki and finds her. They have a heart-to-heart talk and he apologizes deeply for his actions. He is interrupted by Arya, who is dying after being inflicted with arrows. With Arya dying in his arms, Asoka suddenly realizes that his enemies, his family, and even Arya, are all dead, because of him. His grandfather's advice about the sword had been right. The film ends with Asoka throwing the sword at the same spot his grandfather had thrown it and embracing Buddhism. The final narrative describes how Asoka not only built a large empire, but spread Buddhism and the winds of peace through it.",0,1,0,0,1
"Six introverted individuals, bored with their lives and trying to escape their daily routine, attempt to find a radical solution to their boredom by getting themselves admitted into a psychiatric hospital. Among these individuals are: Maud , a bored trophy wife who feels trapped in a loveless marriage; Antoine , a sex-obsessed virgin; Alice , a woman whose only enjoyment comes from computers; Miranda , a paranoid exhibitionist whose inhibitions make her dislike being the center of attention; Paul , a fanatical right-wing conspiracy theorist; and Alan , an androgynous rapper. Upon arriving to the asylum, the six individuals are informed that there is only room for one person in the hospital. Nurse Milly  informs the individuals that they will now have to compete for the only remaining spot in the asylum. The nurse proceeds to administer tests and contests and whomever she deems to be the craziest and most insane will be declared the winner and will be committed into the institution. The competition and everything in the institution is always watched over and supervised by an unseen character known only as ""The Beard"".",1,0,1,1,0
"Following a tip from a small time lodge owner , the ATS conducts a search at the rooms where a group of suspicious youths stayed. Baba Kalyani , the ATS superintendent finds certain vital clues, which he wants to follow after. Upon the permission from Bose Ninan , the IG of police, Baba Kalyani takes arrives in Kochi. He is posted in traffic department as undercover with Thomas Chandy  and a couple of ATS officers assisting him. At Kochi, Kalyani clashes with advocate Ashokan ([[Murali  and Advocate Madhumitha , his daughter, who was his ex-girlfriend. A bundle of counterfeit currency is found at a local bank, which was transferred from the account of a charity organization run by Sait Isra Mohammed Haji([[Saikumar , a respected businessman. Baba Kalyani reaches out the residence of Isra Mohammed at the same night, Isra denies any knowledge about any hawala dealings in the state. The cash was transferred from the account by Babur , Isra Mohammed's son-in-law, who is also a college lecturer. Babu is king-pin of a terror organization in the state. He along with a bunch of young men had secretly undergone Jihadi training and is planning a massive explosion. But unaware of this, Isra supports him thinking Babu is a normal college lecturer busy with his own life. One morning Isra arrives at Baba Kalyani's residence informing about a group of suspicious young men recently seen at the near by mosque. He also adds that the Muslyar of the mosque has some doubts regarding their activities. Baba Kalyani along with his group conducts a raid at the house and gathers vital information. The house gets exploded, signing the storage of inflammable explosives. Baba Kalyani, from the prints, maps and photographs concludes that their next target is Palani, a divine pilgrimage center in South India. He arrives at Palani along with his team, where meets up Raghupathi ([[Siddique , the superintendent of police. With the support of local police, Baba seize the trucks in which the explosives were stored. Baba sends Isra Mohammed as a negotiator to Babu who was hiding along with a group of Jihadis. But unwilling to give up the plan,Babu decides to shoot down Isra. The ATS team conducts a commando operation under Baba Kalyani and shoots down the jihadis aborting their plan.",1,1,0,0,1
